Founding Year,Traded As,URL,Company,Ticker
2001,['GOCO'],https://en.wikipedia.org/wiki/GoHealth,GoHealth,GOCO
2009,['NTNX'],https://en.wikipedia.org/wiki/Nutanix,Nutanix,NTNX
1963,['BIM'],https://en.wikipedia.org/wiki/BioM%C3%A9rieux,Quanterix,BIM
2006,['SG'],https://en.wikipedia.org/wiki/Sweetgreen,Sweetgreen,SG
2010,['WRBY'],https://en.wikipedia.org/wiki/Warby_Parker,Warby Parker,WRBY
2012,['TXG'],https://en.wikipedia.org/wiki/10x_Genomics,10X Genomics,TXG
2015,['FUBO'],https://en.wikipedia.org/wiki/FuboTV,FuboTV,FUBO
2014,['Not Found'],https://en.wikipedia.org/wiki/Cook_it,MissFresh,Not Found
2016,['BIRD'],https://en.wikipedia.org/wiki/Allbirds,Allbirds,BIRD
2000,"['AEX', 'TKWY']",https://en.wikipedia.org/wiki/Just_Eat_Takeaway,Just Eat Takeaway,AEX
1894,['Not Found'],https://en.wikipedia.org/wiki/Babylon,Babylon,Not Found
2014,['FOOD'],https://en.wikipedia.org/wiki/Goodfood,Goodfood,FOOD
2016,['Not Found'],https://en.wikipedia.org/wiki/Sezzle,Sezzle,Not Found
