Company,Industry,Layoff Date,Ticker
Sarcos,Aerospace,2023-07-17,Not Found
IBM,Hardware,2023-07-17,IBM
Amazon,Retail,2023-07-13,
AudioCodes,Other,2023-07-13,AUDC
Tempo Automation,Other,2023-07-13,TMPO
Peloton,Fitness,2023-07-13,
Bark,Retail,2023-07-13,
Stitch Fix,Retail,2023-07-12,SFIX
DeepVerge,Healthcare,2023-07-12,
Freightos,Logistics,2023-07-12,Not Found
Expedia,Travel,2023-07-12,
Matterport,Data,2023-07-11,Not Found
Everquote,Finance,2023-07-11,EVER
Butterfly Network copy,Healthcare,2023-07-11,
Shift,Transportation,2023-07-11,
Latch,Security,2023-07-10,
Amdocs,Support,2023-07-06,DOX
Vista Group,Data,2023-07-05,ASX
Zip,Finance,2023-07-02,
Selina,Travel,2023-06-27,
New Relic,Infrastructure,2023-06-27,Not Found
Lordstown Motors,Transportation,2023-06-27,NRDE
Payoneer,Finance,2023-06-26,PAYO
Robinhood,Finance,2023-06-26,
Uber,Transportation,2023-06-21,UBER
Illumina,Healthcare,2023-06-21,
Grab,Transportation,2023-06-20,
Nikola,Transportation,2023-06-16,
Qualcomm,Hardware,2023-06-16,QCOM
Sonos,Consumer,2023-06-14,SONO
TrueCar,Transportation,2023-06-14,TRUE
Olo,Food,2023-06-14,
Western Digital,Hardware,2023-06-13,WDC
Zalando,Retail,2023-06-13,ZAL
Chegg,Education,2023-06-12,Not Found
23andMe,Healthcare,2023-06-09,ME
Freshworks,Support,2023-06-08,FRSH
Nubank,Finance,2023-06-07,NU
HashiCorp,Infrastructure,2023-06-07,Not Found
Coherent,Manufacturing,2023-06-06,
Edgio,Infrastructure,2023-06-06,Not Found
Unity,Other,2023-06-06,
Spotify,Media,2023-06-05,Not Found
ZoomInfo,Sales,2023-06-02,ZI
Outbrain,Marketing,2023-06-01,OB
SentinelOne,Security,2023-06-01,S
ZipRecruiter,Recruiting,2023-05-31,Not Found
DHI Group,Recruiting,2023-05-26,
Western Digital,Hardware,2023-05-24,WDC
Qualcomm,Hardware,2023-05-23,QCOM
AppFolio,Real Estate,2023-05-22,APPF
TuSimple,Transportation,2023-05-18,TSPH
Lemonade,Finance,2023-05-16,
Telenav,Transportation,2023-05-12,Not Found
CS Disco,Legal,2023-05-11,
Microsoft,Other,2023-05-10,MSFT
Redbubble,Retail,2023-05-10,Not Found
Similarweb,Other,2023-05-10,Not Found
Akamai,Security,2023-05-09,AKAM
AudioCodes,Other,2023-05-09,AUDC
Marqeta,Finance,2023-05-09,Not Found
Twist Bioscience,Healthcare,2023-05-05,TWST
Shopify,Retail,2023-05-04,SHOP
Sabre,Travel,2023-05-04,
Unity,Other,2023-05-03,
Upwork,Other,2023-05-03,Not Found
Brightcove,Marketing,2023-05-03,Not Found
Cue Health,Healthcare,2023-04-28,
Dropbox,Other,2023-04-27,DBX
Alteryx,Data,2023-04-27,Not Found
Vroom,Transportation,2023-04-27,
Megaport,Infrastructure,2023-04-27,
Lyft,Transportation,2023-04-21,LYFT
BuzzFeed,Media,2023-04-20,BZFD
Lenovo,Hardware,2023-04-20,Not Found
F5,Security,2023-04-19,
WalkMe,Other,2023-04-19,
Opendoor,Real Estate,2023-04-18,OPEN
Viasat,Other,2023-04-12,
Science 37,Healthcare,2023-04-12,Not Found
Medtronic,Healthcare,2023-04-12,MDT
Redfin,Real Estate,2023-04-11,RDFN
Acxiom,Marketing,2023-04-11,Not Found
Pear Therapeutics,Healthcare,2023-04-07,
Absolute Software,Security,2023-04-06,TSX
Amplitude,Data,2023-04-05,
View,Other,2023-04-03,
Apple,Retail,2023-04-03,
Roku,Media,2023-03-30,
LendingTree,Finance,2023-03-30,Not Found
Spotify,Media,2023-03-30,Not Found
Kyndryl,Infrastructure,2023-03-30,KD
Electronic Arts,Consumer,2023-03-29,EA
Seagate,Hardware,2023-03-29,
iCAD,Healthcare,2023-03-29,
Shift,Transportation,2023-03-29,
Lucid Motors,Transportation,2023-03-28,LCID
AEye,Transportation,2023-03-28,
Better Therapeutics,Healthcare,2023-03-27,Not Found
Cimpress,Retail,2023-03-23,CMPR
Logitech,Hardware,2023-03-22,LOGN
Wejo,Transportation,2023-03-22,WEJOQ
Marvell,Hardware,2023-03-21,
Expedia,Travel,2023-03-21,
Laybuy,Finance,2023-03-21,
Amazon,Retail,2023-03-20,
Freshworks,Support,2023-03-16,FRSH
Coherent,Manufacturing,2023-03-16,
Leafly,Retail,2023-03-16,LFLY
Boxed,Retail,2023-03-15,
Nubank,Finance,2023-03-15,NU
Meta,Consumer,2023-03-14,
Samsung,Hardware,2023-03-14,Not Found
GoTo Group,Transportation,2023-03-10,Not Found
Xero,Finance,2023-03-09,
Neoleukin Therapeutics,Healthcare,2023-03-09,
Take-Two Interactive,Consumer,2023-03-07,TTWO
Atlassian,Other,2023-03-06,TEAM
SiriusXM,Media,2023-03-06,SIRI
Embark Trucks,Transportation,2023-03-03,
Airbnb,Travel,2023-03-03,ABNB
Accolade,Healthcare,2023-03-03,
Zscaler,Security,2023-03-02,ZS
Thoughtworks,Other,2023-03-01,Not Found
Sonder,Travel,2023-03-01,
Electronic Arts,Consumer,2023-02-28,EA
Eventbrite,Consumer,2023-02-28,Not Found
MeridianLink,Finance,2023-02-28,
Sono Motors,Transportation,2023-02-27,SEV
Palantir,Data,2023-02-27,
Twitter,Consumer,2023-02-25,Not Found
Ericsson,Other,2023-02-24,ERIC
Lucira Health,Healthcare,2023-02-24,
EQRx,Healthcare,2023-02-24,Not Found
EVgo,Transportation,2023-02-23,EVGO
TaskUs,Support,2023-02-22,TASK
Criteo,Marketing,2023-02-21,CRTO
Zalando,Retail,2023-02-21,ZAL
HP,Hardware,2023-02-19,
Micron,Hardware,2023-02-17,
Tencent,Consumer,2023-02-17,Not Found
Digimarc,Other,2023-02-17,DMRC
DocuSign,Sales,2023-02-16,DOCU
The RealReal,Retail,2023-02-16,REAL
Smartsheet,Other,2023-02-16,
Wix,Marketing,2023-02-15,
DigitalOcean,Infrastructure,2023-02-15,DOCN
Sprinklr,Support,2023-02-15,Not Found
Momentive,Marketing,2023-02-15,Not Found
Vicarious Surgical,Healthcare,2023-02-15,
Blackbaud,Other,2023-02-14,BLKB
Udemy,Education,2023-02-14,Not Found
Twilio,Other,2023-02-13,Not Found
Titan Medical,Healthcare,2023-02-10,
Rigetti Computing,Hardware,2023-02-10,RGTI
Deliveroo,Food,2023-02-09,ROO
Oportun,Finance,2023-02-09,
GitLab,Product,2023-02-09,
Bark,Retail,2023-02-09,
REE Automotive,Transportation,2023-02-09,REE
GoDaddy,Marketing,2023-02-08,Not Found
Affirm,Finance,2023-02-08,
Zoom,Other,2023-02-07,
eBay,Retail,2023-02-07,EBAY
SecureWorks,Security,2023-02-07,
Openpay,Finance,2023-02-07,OPY.AX
Dell,Hardware,2023-02-06,Not Found
Okta,Security,2023-02-02,
Autodesk,Other,2023-02-02,ADSK
NCC Group,Security,2023-02-02,NCC
Desktop Metal,Other,2023-02-02,DM
Getaround,Transportation,2023-02-02,GETR
NCSoft,Consumer,2023-02-02,Not Found
Splunk,Data,2023-02-01,Not Found
Pinterest,Consumer,2023-02-01,Not Found
DraftKings,Consumer,2023-02-01,DKNG
